piece,y_px,z_mm,edge_x_px,half_width_px,half_width_mm
Pawn,432,23.921933,182,73,5.264423
Pawn,433,23.838290,181,74,5.336538
Pawn,434,23.754647,181,74,5.336538
Pawn,435,23.671004,180,75,5.408654
Pawn,436,23.587361,180,75,5.408654
Pawn,437,23.503717,180,75,5.408654
Pawn,438,23.420074,179,76,5.480769
Pawn,439,23.336431,179,76,5.480769
Pawn,440,23.252788,178,77,5.552885
Pawn,441,23.169145,178,77,5.552885
Pawn,442,23.085502,177,78,5.625000
Pawn,443,23.001859,177,78,5.625000
Pawn,444,22.918216,176,79,5.697115
Pawn,445,22.834572,176,79,5.697115
Pawn,446,22.750929,175,80,5.769231
Pawn,447,22.667286,175,80,5.769231
Pawn,448,22.583643,174,81,5.841346
Pawn,449,22.500000,174,81,5.841346
Pawn,450,22.416357,173,82,5.913462
Pawn,451,22.332714,173,82,5.913462
Pawn,452,22.249071,172,83,5.985577
Pawn,453,22.165428,172,83,5.985577
Pawn,454,22.081784,171,84,6.057692
Pawn,455,21.998141,171,84,6.057692
Pawn,456,21.914498,170,85,6.129808
Pawn,457,21.830855,170,85,6.129808
Pawn,458,21.747212,170,85,6.129808
Pawn,459,21.663569,169,86,6.201923
Pawn,460,21.579926,169,86,6.201923
Pawn,461,21.496283,168,87,6.274038
Pawn,462,21.412639,168,87,6.274038
Pawn,463,21.328996,167,88,6.346154
Pawn,464,21.245353,167,88,6.346154
Pawn,465,21.161710,166,89,6.418269
Pawn,466,21.078067,166,89,6.418269
Pawn,467,20.994424,165,90,6.490385
Pawn,468,20.910781,165,90,6.490385
Pawn,469,20.827138,164,91,6.562500
Pawn,470,20.743494,164,91,6.562500
Pawn,471,20.659851,163,92,6.634615
Pawn,472,20.576208,162,93,6.706731
Pawn,473,20.492565,162,93,6.706731
Pawn,474,20.408922,161,94,6.778846
Pawn,475,20.325279,160,95,6.850962
Pawn,476,20.241636,159,96,6.923077
Pawn,477,20.157993,159,96,6.923077
Pawn,478,20.074349,158,97,6.995192
Pawn,479,19.990706,157,98,7.067308
Pawn,480,19.907063,157,98,7.067308
Pawn,481,19.823420,156,99,7.139423
Pawn,482,19.739777,155,100,7.211538
Pawn,483,19.656134,155,100,7.211538
Pawn,484,19.572491,154,101,7.283654
Pawn,485,19.488848,153,102,7.355769
Pawn,486,19.405204,153,102,7.355769
Pawn,487,19.321561,152,103,7.427885
Pawn,488,19.237918,151,104,7.500000
Pawn,489,19.154275,151,104,7.500000
Pawn,490,19.070632,150,105,7.572115
Pawn,491,18.986989,149,106,7.644231
Pawn,492,18.903346,149,106,7.644231
Pawn,493,18.819703,148,107,7.716346
Pawn,494,18.736059,147,108,7.788462
Pawn,495,18.652416,147,108,7.788462
Pawn,496,18.568773,146,109,7.860577
Pawn,497,18.485130,145,110,7.932692
Pawn,498,18.401487,144,111,8.004808
Pawn,499,18.317844,144,111,8.004808
Pawn,500,18.234201,143,112,8.076923
Pawn,501,18.150558,142,113,8.149038
Pawn,502,18.066914,142,113,8.149038
Pawn,503,17.983271,141,114,8.221154
Pawn,504,17.899628,140,115,8.293269
Pawn,505,17.815985,140,115,8.293269
Pawn,506,17.732342,139,116,8.365385
Pawn,507,17.648699,138,117,8.437500
Pawn,508,17.565056,138,117,8.437500
Pawn,509,17.481413,137,118,8.509615
Pawn,510,17.397770,136,119,8.581731
Pawn,511,17.314126,136,119,8.581731
Pawn,512,17.230483,135,120,8.653846
Pawn,513,17.146840,134,121,8.725962
